geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
36080,-21.7453365792314,-43.36860735192455,juiz de fora,MG
36016,-21.76837057507646,-43.350131818483476,juiz de fora,MG
36010,-21.765656346932886,-43.34840454149114,juiz de fora,MG
36015,-21.75436946655892,-43.35354077546311,juiz de fora,MG
36047,-21.727687499999995,-43.356158999999984,juiz de fora,MG
36016,-21.770250265959234,-43.35140943619409,juiz de fora,MG
36015,-21.75750183319865,-43.35092532722604,juiz de fora,MG
36021,-21.7723349336661,-43.34665289938832,juiz de fora,MG
36045,-21.74122397668647,-43.35593193588781,juiz de fora,MG
36071,-21.769328515119216,-43.322473691788296,juiz de fora,MG
36085,-21.710849689422368,-43.40484600305841,juiz de fora,MG
36030,-21.794688597005,-43.34550726908647,juiz de fora,MG
36052,-21.74450088842405,-43.34823285498297,juiz de fora,MG
36015,-21.758804392723217,-43.353887594783316,juiz de fora,MG
36020,-21.779223108517535,-43.32455958604072,juiz de fora,MG
36039,-21.796149217734865,-43.40116349464617,juiz de fora,MG
36010,-21.76632894911072,-43.34574232323561,juiz de fora,MG
36048,-21.691235419931875,-43.34820947002138,juiz de fora,MG
36050,-21.726440999999994,-43.34999186802472,juiz de fora,MG
36070,-21.767969755756262,-43.32855002207277,juiz de fora,MG
36087,-21.703664405265982,-43.419630266045665,juiz de fora,MG
36037,-21.764803588954916,-43.39123434693289,juiz de fora,MG
36021,-21.775937008050075,-43.34432211893353,juiz de fora,MG
36033,-21.790436417421724,-43.36455779211154,juiz de fora,MG
36013,-21.760108250620373,-43.34841925659299,juiz de fora,MG
36052,-21.751740497856996,-43.34818887339953,juiz de fora,MG
36033,-21.785742,-43.36483050000001,juiz de fora,MG
36010,-21.769296024698498,-43.34192555759131,juiz de fora,MG
36070,-21.775119684430717,-43.32927290951586,juiz de fora,MG
36016,-21.76573769376698,-43.34879101176687,juiz de fora,MG
36060,-21.75503849999999,-43.34446575,juiz de fora,MG
36037,-21.769592846240396,-43.38354140022502,juiz de fora,MG
36010,-21.760671360665015,-43.34641957012634,juiz de fora,MG
36070,-21.774276555369614,-43.32816238343238,juiz de fora,MG
36025,-21.779483507387813,-43.356150071785464,juiz de fora,MG
36046,-21.738240083819036,-43.362711806826695,juiz de fora,MG
36045,-21.740884543712852,-43.36124198265908,juiz de fora,MG
36050,-21.740917463500498,-43.35256196961735,juiz de fora,MG
36050,-21.740422746869463,-43.3521475088868,juiz de fora,MG
36025,-21.775224478763942,-43.354011708580956,juiz de fora,MG
36045,-21.742333627531877,-43.36521998265907,juiz de fora,MG
36033,-21.810179913122553,-43.37560694281271,juiz de fora,MG
36048,-21.725392216880998,-43.352539001075776,juiz de fora,MG
36015,-21.757368657222052,-43.35431513641869,juiz de fora,MG
36036,-21.768795844038813,-43.37508437033139,juiz de fora,MG
36039,-21.797905364540103,-43.41070274751474,juiz de fora,MG
36033,-21.782523179976895,-43.3653693704592,juiz de fora,MG
36070,-21.76046884762538,-43.33772853497027,juiz de fora,MG
36091,-21.700534437526912,-43.43980184825089,juiz de fora,MG
36010,-21.76264819954993,-43.346299588954935,juiz de fora,MG
36033,-21.783697082434053,-43.363948986958256,juiz de fora,MG
36016,-21.761976436580298,-43.350935238963594,juiz de fora,MG
36071,-21.77490010130417,-43.30822904954124,juiz de fora,MG
36047,-21.714866832361935,-43.3539000992267,juiz de fora,MG
36035,-21.749683735501158,-43.36372472023773,juiz de fora,MG
36016,-21.76341514847947,-43.349880195394995,juiz de fora,MG
36037,-21.774878939902266,-43.39288551337814,juiz de fora,MG
36010,-21.764649268942236,-43.348675264498844,juiz de fora,MG
36016,-21.770955671100513,-43.35151762975357,juiz de fora,MG
36032,-21.790761925616028,-43.35719890827513,juiz de fora,MG
36033,-21.78534364494285,-43.36072749138503,juiz de fora,MG
36070,-21.762480834570617,-43.33526628072333,juiz de fora,MG
36085,-21.71900627497841,-43.39915713648984,juiz de fora,MG
36036,-21.76703768552723,-43.365956522880836,juiz de fora,MG
36025,-21.773086019706835,-43.3478709739165,juiz de fora,MG
36036,-21.76529097523961,-43.380134405074045,juiz de fora,MG
36087,-21.709933323619367,-43.42169948265909,juiz de fora,MG
36016,-21.771954503462457,-43.358840999999984,juiz de fora,MG
36033,-21.795797223303037,-43.361151576816404,juiz de fora,MG
36033,-21.787057768477794,-43.365064619253666,juiz de fora,MG
36035,-21.749094108688972,-43.36195663157337,juiz de fora,MG
36025,-21.776972741329537,-43.35761139494492,juiz de fora,MG
36015,-21.760175955306188,-43.351949524842716,juiz de fora,MG
36021,-21.774914948092828,-43.34168591548848,juiz de fora,MG
36025,-21.778155303364258,-43.36307770552253,juiz de fora,MG
36030,-21.7881451250529,-43.3561383702513,juiz de fora,MG
36037,-21.768689722569672,-43.3929063225548,juiz de fora,MG
36025,-21.773927536211026,-43.352000717179294,juiz de fora,MG
36025,-21.7757416702638,-43.35745019149984,juiz de fora,MG
36025,-21.77386146572221,-43.35030513405275,juiz de fora,MG
36035,-21.74773734693288,-43.35754940022505,juiz de fora,MG
36010,-21.762649330284464,-43.3447223993883,juiz de fora,MG
36020,-21.77301413543773,-43.33853605121468,juiz de fora,MG
36083,-21.733285463500497,-43.40189899515256,juiz de fora,MG
36080,-21.744830912574283,-43.36596714570951,juiz de fora,MG
36016,-21.7701620044434,-43.353778132811996,juiz de fora,MG
36060,-21.734176882595666,-43.32832605467712,juiz de fora,MG
36045,-21.74390229793629,-43.363394092473406,juiz de fora,MG
36025,-21.770425980841413,-43.348858108661766,juiz de fora,MG
36015,-21.757239734155412,-43.3557758756694,juiz de fora,MG
36025,-21.774801310577622,-43.35506849694157,juiz de fora,MG
36021,-21.775379008050077,-43.34446161893355,juiz de fora,MG
36047,-21.721295441903745,-43.35951028651183,juiz de fora,MG
36062,-21.754794206215028,-43.34364194947781,juiz de fora,MG
36080,-21.740104561746254,-43.377420410352585,juiz de fora,MG
36016,-21.772245478215687,-43.35404492200934,juiz de fora,MG
36050,-21.731228560361274,-43.34779296058631,juiz de fora,MG
36088,-21.711510544549576,-43.43869667998732,juiz de fora,MG
36051,-21.732960027756924,-43.34415745836461,juiz de fora,MG
36080,-21.7473428365514,-43.36213562398077,juiz de fora,MG
36080,-21.74402379043248,-43.37071073337058,juiz de fora,MG
36026,-21.78105070552253,-43.34669939162669,juiz de fora,MG
36047,-21.721721010634262,-43.35467053745002,juiz de fora,MG
36048,-21.781203820931815,-43.291582274924686,juiz de fora,MG
36031,-21.787523308355926,-43.34636000083673,juiz de fora,MG
36036,-21.75173668942238,-43.35365999694157,juiz de fora,MG
36016,-21.762588458220385,-43.35119022967279,juiz de fora,MG
36025,-21.7758373477696,-43.35452945031453,juiz de fora,MG
36047,-21.720404933666103,-43.35303543949448,juiz de fora,MG
36033,-21.783966202060085,-43.36113684901035,juiz de fora,MG
36016,-21.7723340927921,-43.35299249086372,juiz de fora,MG
36035,-21.76229362787239,-43.38385349654895,juiz de fora,MG
36025,-21.777963768798003,-43.35650312629114,juiz de fora,MG
36031,-21.79800157146978,-43.34892824355125,juiz de fora,MG
36036,-21.76981817069648,-43.37603641118931,juiz de fora,MG
36035,-21.748501152374626,-43.36660752331352,juiz de fora,MG
36038,-21.76235368220901,-43.3492739321369,juiz de fora,MG
36052,-21.749106771856432,-43.34680811004674,juiz de fora,MG
36021,-21.778825824684496,-43.33839234834203,juiz de fora,MG
36090,-21.69145781127011,-43.44363298612154,juiz de fora,MG
36085,-21.716084828755253,-43.40445556189048,juiz de fora,MG
36060,-21.752904618594947,-43.34714825296415,juiz de fora,MG
36038,-21.78486956203325,-43.3751991269108,juiz de fora,MG
36090,-21.68856730252754,-43.43419944546709,juiz de fora,MG
36087,-21.705207191788308,-43.418682655144586,juiz de fora,MG
36035,-21.74808424113319,-43.36714429046216,juiz de fora,MG
36051,-21.72737289286745,-43.338008341796986,juiz de fora,MG
36046,-21.73045684401869,-43.35305398459233,juiz de fora,MG
36025,-21.77243748542905,-43.34690248404407,juiz de fora,MG
36010,-21.763271064660447,-43.34811602775692,juiz de fora,MG
36032,-21.796963931444413,-43.354216078827385,juiz de fora,MG
36010,-21.76125514847948,-43.349438304749235,juiz de fora,MG
36026,-21.778741341652765,-43.34877410090013,juiz de fora,MG
36025,-21.77444068220902,-43.35304393658029,juiz de fora,MG
36033,-21.783733417710174,-43.361878567863094,juiz de fora,MG
36036,-21.771563748672033,-43.36971233254891,juiz de fora,MG
36039,-21.78566438656191,-43.3913093242248,juiz de fora,MG
36060,-21.750185776299823,-43.33765427699231,juiz de fora,MG
36088,-21.71076512738766,-43.437396116711845,juiz de fora,MG
36020,-21.777430920636462,-43.3345636885428,juiz de fora,MG
36062,-21.75748388565409,-43.34015935720466,juiz de fora,MG
36013,-21.75579964007315,-43.3509275077883,juiz de fora,MG
36021,-21.77368468220901,-43.34509996433723,juiz de fora,MG
36010,-21.768978122944254,-43.34617694685209,juiz de fora,MG
36088,-21.712645652787952,-43.44047684396674,juiz de fora,MG
36015,-21.758804392723217,-43.353887594783316,juiz de fora,MG
36016,-21.770354966756518,-43.35787544635769,juiz de fora,MG
36081,-21.74615761088346,-43.39313215805877,juiz de fora,MG
36033,-21.784639359137902,-43.36097768235324,juiz de fora,MG
36016,-21.771360135726198,-43.35622796655891,juiz de fora,MG
36035,-21.75094231057762,-43.36915737829648,juiz de fora,MG
36052,-21.746419103525877,-43.341255518870106,juiz de fora,MG
36062,-21.75748388565409,-43.34015935720466,juiz de fora,MG
36030,-21.79544677629982,-43.33957030252753,juiz de fora,MG
36010,-21.762977008050083,-43.34371635858966,juiz de fora,MG
36020,-21.776092404143412,-43.331132870201614,juiz de fora,MG
36047,-21.721387337497827,-43.356278907438394,juiz de fora,MG
36090,-21.69629778934157,-43.44123186609148,juiz de fora,MG
36050,-21.751585376074786,-43.357989745628714,juiz de fora,MG
36035,-21.762361412138898,-43.3826413777163,juiz de fora,MG
36033,-21.782111050781985,-43.36480450014422,juiz de fora,MG
36016,-21.770031688909835,-43.35735870430742,juiz de fora,MG
36036,-21.75155576923253,-43.35375910527108,juiz de fora,MG
36090,-21.68973186511052,-43.43765450346244,juiz de fora,MG
36050,-21.73544844907378,-43.351326382595666,juiz de fora,MG
36020,-21.771864628916866,-43.332468903975936,juiz de fora,MG
36035,-21.74979929003405,-43.36354924701369,juiz de fora,MG
36048,-21.685919286276768,-43.35468014591108,juiz de fora,MG
36039,-21.803841446304588,-43.39898791470866,juiz de fora,MG
36050,-21.728958244791993,-43.34121558396326,juiz de fora,MG
36037,-21.77487676824975,-43.39905264363204,juiz de fora,MG
36026,-21.781767069940575,-43.344231632523545,juiz de fora,MG
36045,-21.74202665956431,-43.363123238404775,juiz de fora,MG
36038,-21.802306499999993,-43.389303749999996,juiz de fora,MG
36016,-21.770250265959234,-43.35140943619409,juiz de fora,MG
36060,-21.733912823475137,-43.32877670927345,juiz de fora,MG
36010,-21.76136014126612,-43.3458495051359,juiz de fora,MG
36030,-21.788037126460473,-43.3439462741887,juiz de fora,MG
36087,-21.703685018321853,-43.42477029531416,juiz de fora,MG
36035,-21.749364565700034,-43.36152560392569,juiz de fora,MG
36045,-21.73980957728377,-43.35935988732984,juiz de fora,MG
36025,-21.779284295862443,-43.356103616711856,juiz de fora,MG
36047,-21.718103862684746,-43.35062117675173,juiz de fora,MG
36090,-21.688961804605007,-43.43701293588782,juiz de fora,MG
36071,-21.768718411045075,-43.32544736441804,juiz de fora,MG
36010,-21.76922810956628,-43.341772290262114,juiz de fora,MG
36050,-21.728765955306194,-43.34082552484272,juiz de fora,MG
36015,-21.758257779024238,-43.35423182421071,juiz de fora,MG
36016,-21.76573769376698,-43.34879101176687,juiz de fora,MG
36026,-21.779151202608347,-43.349809253678785,juiz de fora,MG
36035,-21.76061757285476,-43.37898200957928,juiz de fora,MG
36015,-21.75900130739018,-43.35636083451992,juiz de fora,MG
36030,-21.782946006665103,-43.345035832506156,juiz de fora,MG
36080,-21.744559542266224,-43.36437277921564,juiz de fora,MG
36010,-21.764199268942235,-43.34878229003406,juiz de fora,MG
36092,-21.68221618930166,-43.43949699737615,juiz de fora,MG
36031,-21.796887520399324,-43.347293764498836,juiz de fora,MG
36035,-21.74928654149115,-43.36398107937564,juiz de fora,MG
36016,-21.76455877629983,-43.35321222300769,juiz de fora,MG
36050,-21.73143175659298,-43.34726129003406,juiz de fora,MG
36020,-21.780810566189658,-43.3310193337469,juiz de fora,MG
36026,-21.778553011656754,-43.346363459057116,juiz de fora,MG
36026,-21.78010384041202,-43.34490164446878,juiz de fora,MG
36020,-21.768718027522574,-43.33578766421507,juiz de fora,MG
36050,-21.739455565641403,-43.34784519525076,juiz de fora,MG
36045,-21.74142776019967,-43.356946756592976,juiz de fora,MG
36048,-21.684992249680906,-43.35419413373688,juiz de fora,MG
36060,-21.732363806826715,-43.33528549624908,juiz de fora,MG
36050,-21.741791752149584,-43.35144940161001,juiz de fora,MG
36030,-21.788117999999997,-43.343275500000004,juiz de fora,MG
36010,-21.762649330284464,-43.3447223993883,juiz de fora,MG
36015,-21.756543167933586,-43.35235343765622,juiz de fora,MG
36035,-21.748382591176615,-43.35506936594722,juiz de fora,MG
36045,-21.73978054010618,-43.360174042876125,juiz de fora,MG
36010,-21.768474876767275,-43.34358574909116,juiz de fora,MG
36087,-21.70625858895492,-43.421761278925565,juiz de fora,MG
36021,-21.77459932944774,-43.34547187177562,juiz de fora,MG
36031,-21.808129700826,-43.341384713821505,juiz de fora,MG
36035,-21.746751034970288,-43.35736117055225,juiz de fora,MG
36030,-21.789358292255756,-43.34208915015293,juiz de fora,MG
36010,-21.769843903139225,-43.34576152706443,juiz de fora,MG
36092,-21.679749951339442,-43.44428441285528,juiz de fora,MG
36085,-21.71747726227714,-43.407788631831046,juiz de fora,MG
36025,-21.773086019706835,-43.3478709739165,juiz de fora,MG
36081,-21.732195666945568,-43.3942878769115,juiz de fora,MG
36037,-21.770661520423307,-43.38905761666855,juiz de fora,MG
36035,-21.74684774049283,-43.353303464885485,juiz de fora,MG
36048,-21.683560578683146,-43.35325392783773,juiz de fora,MG
36035,-21.748202217705163,-43.368266020738986,juiz de fora,MG
36025,-21.773340376911513,-43.35422774104108,juiz de fora,MG
36015,-21.752976542039413,-43.35624493505109,juiz de fora,MG
36045,-21.742818375404227,-43.35202146841382,juiz de fora,MG
36092,-21.656599983463103,-43.43109637816092,juiz de fora,MG
36021,-21.776064097697496,-43.345038341941226,juiz de fora,MG
